Place	Date	Time	Value	Unit
18997	3/21/20	7:28:13	48.5	dB      
18996	3/21/20	7:28:08	51.5	dB      
18995	3/21/20	7:28:03	59	dB      
18994	3/21/20	7:27:58	57	dB      
18993	3/21/20	7:27:53	58.6	dB      
18992	3/21/20	7:27:48	54.3	dB      
18991	3/21/20	7:27:43	52.4	dB      
18990	3/21/20	7:27:38	47.7	dB      
18989	3/21/20	7:27:33	49.3	dB      
18988	3/21/20	7:27:28	49.3	dB      
18987	3/21/20	7:27:23	49.2	dB      
18986	3/21/20	7:27:18	48.5	dB      
18985	3/21/20	7:27:13	47.2	dB      
18984	3/21/20	7:27:08	49.2	dB      
18983	3/21/20	7:27:03	48	dB      
18982	3/21/20	7:26:58	46.3	dB      
18981	3/21/20	7:26:53	48	dB      
18980	3/21/20	7:26:48	48.4	dB      
18979	3/21/20	7:26:43	49.2	dB      
18978	3/21/20	7:26:38	56.5	dB      
18977	3/21/20	7:26:33	59.4	dB      
18976	3/21/20	7:26:28	58.8	dB      
18975	3/21/20	7:26:23	50.9	dB      
18974	3/21/20	7:26:18	52.5	dB      
18973	3/21/20	7:26:13	48.7	dB      
18972	3/21/20	7:26:08	45.1	dB      
18971	3/21/20	7:26:03	45.5	dB      
18970	3/21/20	7:25:58	46.9	dB      
18969	3/21/20	7:25:53	50.8	dB      
18968	3/21/20	7:25:48	54.1	dB      
18967	3/21/20	7:25:43	56.1	dB      
18966	3/21/20	7:25:38	54.8	dB      
18965	3/21/20	7:25:33	62.5	dB      
18964	3/21/20	7:25:28	53.2	dB      
18963	3/21/20	7:25:23	52.2	dB      
18962	3/21/20	7:25:18	52	dB      
18961	3/21/20	7:25:13	49.9	dB      
18960	3/21/20	7:25:08	48.6	dB      
18959	3/21/20	7:25:03	49.5	dB      
18958	3/21/20	7:24:58	48.7	dB      
18957	3/21/20	7:24:53	46.4	dB      
18956	3/21/20	7:24:48	53.9	dB      
18955	3/21/20	7:24:43	47.7	dB      
18954	3/21/20	7:24:38	50.6	dB      
18953	3/21/20	7:24:33	52.9	dB      
18952	3/21/20	7:24:28	54.6	dB      
18951	3/21/20	7:24:23	57.6	dB      
18950	3/21/20	7:24:18	56.1	dB      
18949	3/21/20	7:24:13	55	dB      
18948	3/21/20	7:24:08	52.8	dB      
18947	3/21/20	7:24:03	54.5	dB      
18946	3/21/20	7:23:58	51.5	dB      
18945	3/21/20	7:23:53	51.4	dB      
18944	3/21/20	7:23:48	50.7	dB      
18943	3/21/20	7:23:43	51.1	dB      
18942	3/21/20	7:23:38	50.2	dB      
18941	3/21/20	7:23:33	49.2	dB      
18940	3/21/20	7:23:28	52.3	dB      
18939	3/21/20	7:23:23	60.1	dB      
18938	3/21/20	7:23:18	54.2	dB      
18937	3/21/20	7:23:13	52.9	dB      
18936	3/21/20	7:23:08	49.7	dB      
18935	3/21/20	7:23:03	53.5	dB      
18934	3/21/20	7:22:58	53.4	dB      
18933	3/21/20	7:22:53	49.7	dB      
18932	3/21/20	7:22:48	47	dB      
18931	3/21/20	7:22:43	59.7	dB      
18930	3/21/20	7:22:38	46.8	dB      
18929	3/21/20	7:22:33	49.6	dB      
18928	3/21/20	7:22:28	47	dB      
18927	3/21/20	7:22:23	49.3	dB      
18926	3/21/20	7:22:18	49.6	dB      
18925	3/21/20	7:22:13	50	dB      
18924	3/21/20	7:22:08	52.8	dB      
18923	3/21/20	7:22:03	58.1	dB      
18922	3/21/20	7:21:58	62.9	dB      
18921	3/21/20	7:21:53	58.4	dB      
18920	3/21/20	7:21:48	53.2	dB      
18919	3/21/20	7:21:43	53.2	dB      
18918	3/21/20	7:21:38	47.5	dB      
18917	3/21/20	7:21:33	46.8	dB      
18916	3/21/20	7:21:28	48.9	dB      
18915	3/21/20	7:21:23	49	dB      
18914	3/21/20	7:21:18	49.3	dB      
18913	3/21/20	7:21:13	49.9	dB      
18912	3/21/20	7:21:08	49	dB      
18911	3/21/20	7:21:03	55.8	dB      
18910	3/21/20	7:20:58	54.4	dB      
18909	3/21/20	7:20:53	60.1	dB      
18908	3/21/20	7:20:48	49.3	dB      
18907	3/21/20	7:20:43	49.5	dB      
18906	3/21/20	7:20:38	49.7	dB      
18905	3/21/20	7:20:33	46.1	dB      
18904	3/21/20	7:20:28	44.8	dB      
18903	3/21/20	7:20:23	45.3	dB      
18902	3/21/20	7:20:18	44.8	dB      
18901	3/21/20	7:20:13	44.9	dB      
18900	3/21/20	7:20:08	44.4	dB      
18899	3/21/20	7:20:03	45.9	dB      
18898	3/21/20	7:19:58	47.1	dB      
18897	3/21/20	7:19:53	47.5	dB      
18896	3/21/20	7:19:48	46.4	dB      
18895	3/21/20	7:19:43	46.9	dB      
18894	3/21/20	7:19:38	55.1	dB      
18893	3/21/20	7:19:33	59	dB      
18892	3/21/20	7:19:28	54.9	dB      
18891	3/21/20	7:19:23	52.6	dB      
18890	3/21/20	7:19:18	51.1	dB      
18889	3/21/20	7:19:13	48	dB      
18888	3/21/20	7:19:08	47.1	dB      
18887	3/21/20	7:19:03	49	dB      
18886	3/21/20	7:18:58	49.6	dB      
18885	3/21/20	7:18:53	48.1	dB      
18884	3/21/20	7:18:48	47.6	dB      
18883	3/21/20	7:18:43	48.1	dB      
18882	3/21/20	7:18:38	50.2	dB      
18881	3/21/20	7:18:33	50.2	dB      
18880	3/21/20	7:18:28	50.2	dB      
18879	3/21/20	7:18:23	49.8	dB      
18878	3/21/20	7:18:18	54	dB      
18877	3/21/20	7:18:13	67.4	dB      
18876	3/21/20	7:18:08	63.1	dB      
18875	3/21/20	7:18:03	52.3	dB      
18874	3/21/20	7:17:58	51	dB      
18873	3/21/20	7:17:53	46.5	dB      
18872	3/21/20	7:17:48	49.2	dB      
18871	3/21/20	7:17:43	52.3	dB      
18870	3/21/20	7:17:38	52.2	dB      
18869	3/21/20	7:17:33	52.7	dB      
18868	3/21/20	7:17:28	52.2	dB      
18867	3/21/20	7:17:23	56.4	dB      
18866	3/21/20	7:17:18	61.1	dB      
18865	3/21/20	7:17:13	60.3	dB      
18864	3/21/20	7:17:08	54.3	dB      
18863	3/21/20	7:17:03	51.7	dB      
18862	3/21/20	7:16:58	49	dB      
18861	3/21/20	7:16:53	48.5	dB      
18860	3/21/20	7:16:48	48.8	dB      
18859	3/21/20	7:16:43	48.2	dB      
18858	3/21/20	7:16:38	47.7	dB      
18857	3/21/20	7:16:33	46.3	dB      
18856	3/21/20	7:16:28	46.7	dB      
18855	3/21/20	7:16:23	45.8	dB      
18854	3/21/20	7:16:18	47	dB      
18853	3/21/20	7:16:13	46.5	dB      
18852	3/21/20	7:16:08	47.5	dB      
18851	3/21/20	7:16:03	49.8	dB      
18850	3/21/20	7:15:58	49.6	dB      
18849	3/21/20	7:15:53	49.8	dB      
18848	3/21/20	7:15:48	48.9	dB      
18847	3/21/20	7:15:43	46.9	dB      
18846	3/21/20	7:15:38	46.8	dB      
18845	3/21/20	7:15:33	46.3	dB      
18844	3/21/20	7:15:28	48.8	dB      
18843	3/21/20	7:15:23	49	dB      
18842	3/21/20	7:15:18	49.2	dB      
18841	3/21/20	7:15:13	46.8	dB      
18840	3/21/20	7:15:08	45.1	dB      
18839	3/21/20	7:15:03	44.8	dB      
18838	3/21/20	7:14:58	45.3	dB      
18837	3/21/20	7:14:53	48.4	dB      
18836	3/21/20	7:14:48	48.2	dB      
18835	3/21/20	7:14:43	49.5	dB      
18834	3/21/20	7:14:38	48.7	dB      
18833	3/21/20	7:14:33	49	dB      
18832	3/21/20	7:14:28	48.7	dB      
18831	3/21/20	7:14:23	45.8	dB      
