Place	Date	Time	Value	Unit
12598	1/25/20	6:19:44	60.7	dB      
12597	1/25/20	6:19:39	46.2	dB      
12596	1/25/20	6:19:34	46.8	dB      
12595	1/25/20	6:19:29	46.6	dB      
12594	1/25/20	6:19:24	46.9	dB      
12593	1/25/20	6:19:19	47	dB      
12592	1/25/20	6:19:14	47.3	dB      
12591	1/25/20	6:19:09	46.9	dB      
12590	1/25/20	6:19:04	46.2	dB      
12589	1/25/20	6:18:59	45.9	dB      
12588	1/25/20	6:18:54	45.6	dB      
12587	1/25/20	6:18:49	45.8	dB      
12586	1/25/20	6:18:44	45.9	dB      
12585	1/25/20	6:18:39	46.3	dB      
12584	1/25/20	6:18:34	46	dB      
12583	1/25/20	6:18:29	48.9	dB      
12582	1/25/20	6:18:24	46	dB      
12581	1/25/20	6:18:19	46.6	dB      
12580	1/25/20	6:18:14	47.2	dB      
12579	1/25/20	6:18:09	45.6	dB      
12578	1/25/20	6:18:04	45.5	dB      
12577	1/25/20	6:17:59	46.3	dB      
12576	1/25/20	6:17:54	46	dB      
12575	1/25/20	6:17:49	46.8	dB      
12574	1/25/20	6:17:44	45.5	dB      
12573	1/25/20	6:17:39	45.4	dB      
12572	1/25/20	6:17:34	45.5	dB      
12571	1/25/20	6:17:29	45.3	dB      
12570	1/25/20	6:17:24	47.1	dB      
12569	1/25/20	6:17:19	47.3	dB      
12568	1/25/20	6:17:14	46.2	dB      
12567	1/25/20	6:17:09	46	dB      
12566	1/25/20	6:17:04	45.9	dB      
12565	1/25/20	6:16:59	46	dB      
12564	1/25/20	6:16:54	46.8	dB      
12563	1/25/20	6:16:49	47.6	dB      
12562	1/25/20	6:16:44	45.7	dB      
12561	1/25/20	6:16:39	44.9	dB      
12560	1/25/20	6:16:34	46	dB      
12559	1/25/20	6:16:29	46	dB      
12558	1/25/20	6:16:24	45.5	dB      
12557	1/25/20	6:16:19	45.4	dB      
12556	1/25/20	6:16:14	45.9	dB      
12555	1/25/20	6:16:09	47	dB      
12554	1/25/20	6:16:04	53.4	dB      
12553	1/25/20	6:15:59	46.5	dB      
12552	1/25/20	6:15:54	47.3	dB      
12551	1/25/20	6:15:49	45.9	dB      
12550	1/25/20	6:15:44	49.4	dB      
12549	1/25/20	6:15:39	49.3	dB      
12548	1/25/20	6:15:34	47.8	dB      
12547	1/25/20	6:15:29	49.5	dB      
12546	1/25/20	6:15:24	55.3	dB      
12545	1/25/20	6:15:19	50.4	dB      
12544	1/25/20	6:15:14	47.4	dB      
12543	1/25/20	6:15:09	47.5	dB      
12542	1/25/20	6:15:04	45.9	dB      
12541	1/25/20	6:14:59	45.7	dB      
12540	1/25/20	6:14:54	46	dB      
12539	1/25/20	6:14:49	45.9	dB      
12538	1/25/20	6:14:44	45.2	dB      
12537	1/25/20	6:14:39	44.5	dB      
12536	1/25/20	6:14:34	44.6	dB      
12535	1/25/20	6:14:29	45.5	dB      
12534	1/25/20	6:14:24	46.1	dB      
12533	1/25/20	6:14:19	56.1	dB      
12532	1/25/20	6:14:14	47	dB      
12531	1/25/20	6:14:09	47.1	dB      
12530	1/25/20	6:14:04	47.2	dB      
12529	1/25/20	6:13:59	48.6	dB      
12528	1/25/20	6:13:54	46.1	dB      
12527	1/25/20	6:13:49	48.4	dB      
12526	1/25/20	6:13:44	50.8	dB      
12525	1/25/20	6:13:39	49.7	dB      
12524	1/25/20	6:13:34	47.2	dB      
12523	1/25/20	6:13:29	46.8	dB      
12522	1/25/20	6:13:24	45.7	dB      
12521	1/25/20	6:13:19	44.9	dB      
12520	1/25/20	6:13:14	46.6	dB      
12519	1/25/20	6:13:09	48.2	dB      
12518	1/25/20	6:13:04	46.5	dB      
12517	1/25/20	6:12:59	45.9	dB      
12516	1/25/20	6:12:54	46.3	dB      
12515	1/25/20	6:12:49	45.4	dB      
12514	1/25/20	6:12:44	43.8	dB      
12513	1/25/20	6:12:39	44.8	dB      
12512	1/25/20	6:12:34	44.8	dB      
12511	1/25/20	6:12:29	42.7	dB      
12510	1/25/20	6:12:24	42.6	dB      
12509	1/25/20	6:12:19	41.5	dB      
12508	1/25/20	6:12:14	42.6	dB      
12507	1/25/20	6:12:09	42.5	dB      
12506	1/25/20	6:12:04	44.9	dB      
12505	1/25/20	6:11:59	45.4	dB      
12504	1/25/20	6:11:54	45.7	dB      
12503	1/25/20	6:11:49	43.1	dB      
12502	1/25/20	6:11:44	41.3	dB      
12501	1/25/20	6:11:39	42.7	dB      
12500	1/25/20	6:11:34	43	dB      
12499	1/25/20	6:11:29	43.8	dB      
12498	1/25/20	6:11:24	42.8	dB      
12497	1/25/20	6:11:19	41.8	dB      
12496	1/25/20	6:11:14	42.2	dB      
12495	1/25/20	6:11:09	41.4	dB      
12494	1/25/20	6:11:04	42	dB      
12493	1/25/20	6:10:59	42.3	dB      
12492	1/25/20	6:10:54	41.6	dB      
12491	1/25/20	6:10:49	41.9	dB      
12490	1/25/20	6:10:44	43	dB      
12489	1/25/20	6:10:39	41.8	dB      
12488	1/25/20	6:10:34	41.3	dB      
12487	1/25/20	6:10:29	42.5	dB      
12486	1/25/20	6:10:24	48.6	dB      
12485	1/25/20	6:10:19	42.3	dB      
12484	1/25/20	6:10:14	42.4	dB      
12483	1/25/20	6:10:09	43	dB      
12482	1/25/20	6:10:04	43.8	dB      
12481	1/25/20	6:09:59	43	dB      
12480	1/25/20	6:09:54	42.4	dB      
12479	1/25/20	6:09:49	45.1	dB      
12478	1/25/20	6:09:44	42.2	dB      
12477	1/25/20	6:09:39	41.9	dB      
12476	1/25/20	6:09:34	41.1	dB      
12475	1/25/20	6:09:29	41	dB      
12474	1/25/20	6:09:24	42.7	dB      
12473	1/25/20	6:09:19	41.8	dB      
12472	1/25/20	6:09:14	41.7	dB      
12471	1/25/20	6:09:09	42.1	dB      
12470	1/25/20	6:09:04	42.3	dB      
12469	1/25/20	6:08:59	41.1	dB      
12468	1/25/20	6:08:54	41.2	dB      
12467	1/25/20	6:08:49	43.1	dB      
12466	1/25/20	6:08:44	44.1	dB      
12465	1/25/20	6:08:39	44.9	dB      
12464	1/25/20	6:08:34	42.3	dB      
12463	1/25/20	6:08:29	42.8	dB      
12462	1/25/20	6:08:24	41.6	dB      
12461	1/25/20	6:08:19	46.9	dB      
12460	1/25/20	6:08:14	54.4	dB      
12459	1/25/20	6:08:09	45.5	dB      
12458	1/25/20	6:08:04	46.3	dB      
12457	1/25/20	6:07:59	47.5	dB      
12456	1/25/20	6:07:54	44.7	dB      
12455	1/25/20	6:07:49	42.8	dB      
12454	1/25/20	6:07:44	44.9	dB      
12453	1/25/20	6:07:39	45.1	dB      
12452	1/25/20	6:07:34	41.5	dB      
12451	1/25/20	6:07:29	41.1	dB      
12450	1/25/20	6:07:24	43.5	dB      
12449	1/25/20	6:07:19	43.7	dB      
12448	1/25/20	6:07:14	42.3	dB      
12447	1/25/20	6:07:09	45.2	dB      
12446	1/25/20	6:07:04	46.4	dB      
12445	1/25/20	6:06:59	46.7	dB      
12444	1/25/20	6:06:54	43	dB      
12443	1/25/20	6:06:49	42.6	dB      
12442	1/25/20	6:06:44	42.9	dB      
12441	1/25/20	6:06:39	41.8	dB      
12440	1/25/20	6:06:34	41.2	dB      
12439	1/25/20	6:06:29	41.2	dB      
12438	1/25/20	6:06:24	42.2	dB      
12437	1/25/20	6:06:19	43.3	dB      
12436	1/25/20	6:06:14	42.7	dB      
12435	1/25/20	6:06:09	42.6	dB      
12434	1/25/20	6:06:04	42.3	dB      
12433	1/25/20	6:05:59	42.4	dB      
12432	1/25/20	6:05:54	42.4	dB      
12431	1/25/20	6:05:49	48.9	dB      
12430	1/25/20	6:05:44	47.3	dB      
12429	1/25/20	6:05:39	47.9	dB      
12428	1/25/20	6:05:34	43.4	dB      
12427	1/25/20	6:05:29	42.5	dB      
12426	1/25/20	6:05:24	42.8	dB      
12425	1/25/20	6:05:19	43.1	dB      
12424	1/25/20	6:05:14	42.9	dB      
12423	1/25/20	6:05:09	42.5	dB      
12422	1/25/20	6:05:04	43.1	dB      
12421	1/25/20	6:04:59	40.8	dB      
12420	1/25/20	6:04:54	41	dB      
12419	1/25/20	6:04:49	42.2	dB      
12418	1/25/20	6:04:44	42.6	dB      
12417	1/25/20	6:04:39	42	dB      
12416	1/25/20	6:04:34	46.9	dB      
12415	1/25/20	6:04:29	43.7	dB      
12414	1/25/20	6:04:24	42.5	dB      
12413	1/25/20	6:04:19	42.2	dB      
12412	1/25/20	6:04:14	42.2	dB      
12411	1/25/20	6:04:09	42	dB      
12410	1/25/20	6:04:04	41.6	dB      
12409	1/25/20	6:03:59	42.2	dB      
12408	1/25/20	6:03:54	43.2	dB      
12407	1/25/20	6:03:49	45.3	dB      
12406	1/25/20	6:03:44	51.7	dB      
12405	1/25/20	6:03:39	43.5	dB      
12404	1/25/20	6:03:34	42.8	dB      
12403	1/25/20	6:03:29	43.9	dB      
12402	1/25/20	6:03:24	42.1	dB      
12401	1/25/20	6:03:19	42.4	dB      
12400	1/25/20	6:03:14	41.4	dB      
12399	1/25/20	6:03:09	42.6	dB      
12398	1/25/20	6:03:04	41.5	dB      
12397	1/25/20	6:02:59	41.7	dB      
12396	1/25/20	6:02:54	44.3	dB      
12395	1/25/20	6:02:49	42.9	dB      
12394	1/25/20	6:02:44	41.6	dB      
12393	1/25/20	6:02:39	41.4	dB      
12392	1/25/20	6:02:34	44.7	dB      
12391	1/25/20	6:02:29	42.2	dB      
12390	1/25/20	6:02:24	44.2	dB      
12389	1/25/20	6:02:19	43.8	dB      
12388	1/25/20	6:02:14	43.7	dB      
12387	1/25/20	6:02:09	43.2	dB      
12386	1/25/20	6:02:04	42.3	dB      
12385	1/25/20	6:01:59	42	dB      
12384	1/25/20	6:01:54	43.4	dB      
12383	1/25/20	6:01:49	42.5	dB      
12382	1/25/20	6:01:44	42.5	dB      
12381	1/25/20	6:01:39	42.7	dB      
12380	1/25/20	6:01:34	42.6	dB      
12379	1/25/20	6:01:29	43.3	dB      
12378	1/25/20	6:01:24	42.8	dB      
12377	1/25/20	6:01:19	42.5	dB      
12376	1/25/20	6:01:14	42.2	dB      
12375	1/25/20	6:01:09	43.9	dB      
12374	1/25/20	6:01:04	42.4	dB      
12373	1/25/20	6:00:59	42.2	dB      
12372	1/25/20	6:00:54	43.6	dB      
12371	1/25/20	6:00:49	48.3	dB      
12370	1/25/20	6:00:44	46.2	dB      
