Place	Date	Time	Value	Unit
1	2/11/20	22:38:49	40.5	dB      
2	2/11/20	22:38:54	41.4	dB      
3	2/11/20	22:38:59	45	dB      
4	2/11/20	22:39:04	47.2	dB      
5	2/11/20	22:39:09	43.5	dB      
6	2/11/20	22:39:14	40.4	dB      
7	2/11/20	22:39:19	47.3	dB      
8	2/11/20	22:39:24	43.4	dB      
9	2/11/20	22:39:29	40.5	dB      
10	2/11/20	22:39:34	41.3	dB      
11	2/11/20	22:39:39	40.8	dB      
12	2/11/20	22:39:44	40.3	dB      
13	2/11/20	22:39:49	40.6	dB      
14	2/11/20	22:39:54	44.6	dB      
15	2/11/20	22:39:59	46.3	dB      
16	2/11/20	22:40:04	44.2	dB      
17	2/11/20	22:40:09	44.3	dB      
18	2/11/20	22:40:14	41.6	dB      
19	2/11/20	22:40:19	41.1	dB      
20	2/11/20	22:40:24	41.1	dB      
21	2/11/20	22:40:29	41.9	dB      
22	2/11/20	22:40:34	41.1	dB      
23	2/11/20	22:40:39	44.8	dB      
24	2/11/20	22:40:44	47.6	dB      
25	2/11/20	22:40:49	43.4	dB      
26	2/11/20	22:40:54	41.7	dB      
27	2/11/20	22:40:59	41.3	dB      
28	2/11/20	22:41:04	41.2	dB      
29	2/11/20	22:41:09	42.4	dB      
30	2/11/20	22:41:14	44.3	dB      
31	2/11/20	22:41:19	42.6	dB      
32	2/11/20	22:41:24	41.7	dB      
33	2/11/20	22:41:29	41	dB      
34	2/11/20	22:41:34	41.3	dB      
35	2/11/20	22:41:39	45	dB      
36	2/11/20	22:41:44	43.8	dB      
37	2/11/20	22:41:49	41.4	dB      
38	2/11/20	22:41:54	41.2	dB      
39	2/11/20	22:41:59	40.3	dB      
40	2/11/20	22:42:04	50.8	dB      
41	2/11/20	22:42:09	43.5	dB      
42	2/11/20	22:42:14	49.2	dB      
43	2/11/20	22:42:19	43.8	dB      
44	2/11/20	22:42:24	43.9	dB      
45	2/11/20	22:42:29	49.1	dB      
46	2/11/20	22:42:34	43.1	dB      
47	2/11/20	22:42:39	41	dB      
48	2/11/20	22:42:44	42.4	dB      
49	2/11/20	22:42:49	41.7	dB      
50	2/11/20	22:42:54	41.9	dB      
51	2/11/20	22:42:59	41.4	dB      
52	2/11/20	22:43:04	41.4	dB      
53	2/11/20	22:43:09	40.9	dB      
54	2/11/20	22:43:14	41.2	dB      
55	2/11/20	22:43:19	43.3	dB      
56	2/11/20	22:43:24	43.1	dB      
57	2/11/20	22:43:29	42.9	dB      
58	2/11/20	22:43:34	41.4	dB      
59	2/11/20	22:43:39	41	dB      
60	2/11/20	22:43:44	41.3	dB      
61	2/11/20	22:43:49	43.7	dB      
62	2/11/20	22:43:54	42.4	dB      
63	2/11/20	22:43:59	41.4	dB      
64	2/11/20	22:44:04	41.2	dB      
65	2/11/20	22:44:09	41.2	dB      
66	2/11/20	22:44:14	41.8	dB      
67	2/11/20	22:44:19	41.5	dB      
68	2/11/20	22:44:24	42.6	dB      
69	2/11/20	22:44:29	40	dB      
70	2/11/20	22:44:34	41.2	dB      
71	2/11/20	22:44:39	43.7	dB      
72	2/11/20	22:44:44	41.6	dB      
73	2/11/20	22:44:49	40.8	dB      
74	2/11/20	22:44:54	40.3	dB      
75	2/11/20	22:44:59	41.3	dB      
76	2/11/20	22:45:04	40.6	dB      
77	2/11/20	22:45:09	40.9	dB      
78	2/11/20	22:45:14	41	dB      
79	2/11/20	22:45:19	40.9	dB      
80	2/11/20	22:45:24	40.6	dB      
81	2/11/20	22:45:29	40.9	dB      
82	2/11/20	22:45:34	41.1	dB      
83	2/11/20	22:45:39	46.1	dB      
84	2/11/20	22:45:44	45.3	dB      
85	2/11/20	22:45:49	52.6	dB      
86	2/11/20	22:45:54	45.2	dB      
87	2/11/20	22:45:59	41.4	dB      
88	2/11/20	22:46:04	41.3	dB      
89	2/11/20	22:46:09	40.7	dB      
90	2/11/20	22:46:14	39.5	dB      
91	2/11/20	22:46:19	40.1	dB      
92	2/11/20	22:46:24	40.1	dB      
93	2/11/20	22:46:29	41.8	dB      
94	2/11/20	22:46:34	47.3	dB      
95	2/11/20	22:46:39	44.4	dB      
96	2/11/20	22:46:44	40.8	dB      
97	2/11/20	22:46:49	40.1	dB      
98	2/11/20	22:46:54	41.4	dB      
99	2/11/20	22:46:59	43.6	dB      
100	2/11/20	22:47:04	42.7	dB      
101	2/11/20	22:47:09	43.5	dB      
102	2/11/20	22:47:14	44.6	dB      
103	2/11/20	22:47:19	47.2	dB      
