Place	Date	Time	Value	Unit
25458	3/12/20	5:31:50	47.5	dB      
25457	3/12/20	5:31:45	52.4	dB      
25456	3/12/20	5:31:40	46.7	dB      
25455	3/12/20	5:31:35	53.6	dB      
25454	3/12/20	5:31:30	47.6	dB      
25453	3/12/20	5:31:25	46.3	dB      
25452	3/12/20	5:31:20	46	dB      
25451	3/12/20	5:31:15	46	dB      
25450	3/12/20	5:31:10	46.6	dB      
25449	3/12/20	5:31:05	48.6	dB      
25448	3/12/20	5:31:00	62.9	dB      
25447	3/12/20	5:30:55	54.1	dB      
25446	3/12/20	5:30:50	48.6	dB      
25445	3/12/20	5:30:45	47.5	dB      
25444	3/12/20	5:30:40	46.8	dB      
25443	3/12/20	5:30:35	47	dB      
25442	3/12/20	5:30:30	47.3	dB      
25441	3/12/20	5:30:25	47.2	dB      
25440	3/12/20	5:30:20	47.5	dB      
25439	3/12/20	5:30:15	46.9	dB      
25438	3/12/20	5:30:10	45.7	dB      
25437	3/12/20	5:30:05	48.1	dB      
25436	3/12/20	5:30:00	46.6	dB      
25435	3/12/20	5:29:55	45.7	dB      
25434	3/12/20	5:29:50	45	dB      
25433	3/12/20	5:29:45	44.7	dB      
25432	3/12/20	5:29:40	45.1	dB      
25431	3/12/20	5:29:35	46.8	dB      
25430	3/12/20	5:29:30	46	dB      
25429	3/12/20	5:29:25	45.6	dB      
25428	3/12/20	5:29:20	45	dB      
25427	3/12/20	5:29:15	45.3	dB      
25426	3/12/20	5:29:10	45.6	dB      
25425	3/12/20	5:29:05	48.6	dB      
25424	3/12/20	5:29:00	54.9	dB      
25423	3/12/20	5:28:55	45.2	dB      
25422	3/12/20	5:28:50	50	dB      
25421	3/12/20	5:28:45	47.4	dB      
25420	3/12/20	5:28:40	48.4	dB      
25419	3/12/20	5:28:35	46.3	dB      
25418	3/12/20	5:28:30	60.1	dB      
25417	3/12/20	5:28:25	54.6	dB      
25416	3/12/20	5:28:20	46.3	dB      
25415	3/12/20	5:28:15	46.7	dB      
25414	3/12/20	5:28:10	52.8	dB      
25413	3/12/20	5:28:05	46.1	dB      
25412	3/12/20	5:28:00	45.9	dB      
25411	3/12/20	5:27:55	46.1	dB      
25410	3/12/20	5:27:50	46.2	dB      
25409	3/12/20	5:27:45	48.5	dB      
25408	3/12/20	5:27:40	48.6	dB      
25407	3/12/20	5:27:35	52.8	dB      
25406	3/12/20	5:27:30	51.8	dB      
25405	3/12/20	5:27:25	49.7	dB      
25404	3/12/20	5:27:20	44.9	dB      
25403	3/12/20	5:27:15	46.5	dB      
25402	3/12/20	5:27:10	45.5	dB      
25401	3/12/20	5:27:05	46.7	dB      
25400	3/12/20	5:27:00	45.8	dB      
25399	3/12/20	5:26:55	45.5	dB      
25398	3/12/20	5:26:50	44.6	dB      
25397	3/12/20	5:26:45	44.5	dB      
25396	3/12/20	5:26:40	46.6	dB      
25395	3/12/20	5:26:35	46.6	dB      
25394	3/12/20	5:26:30	47.9	dB      
25393	3/12/20	5:26:25	47.4	dB      
25392	3/12/20	5:26:20	51.6	dB      
25391	3/12/20	5:26:15	50.2	dB      
25390	3/12/20	5:26:10	47	dB      
25389	3/12/20	5:26:05	48.5	dB      
25388	3/12/20	5:26:00	48.2	dB      
25387	3/12/20	5:25:55	47	dB      
25386	3/12/20	5:25:50	44.7	dB      
25385	3/12/20	5:25:45	43.1	dB      
25384	3/12/20	5:25:40	46.3	dB      
25383	3/12/20	5:25:35	50.9	dB      
25382	3/12/20	5:25:30	52.3	dB      
25381	3/12/20	5:25:25	49.6	dB      
25380	3/12/20	5:25:20	45.2	dB      
25379	3/12/20	5:25:15	48.7	dB      
25378	3/12/20	5:25:10	50.2	dB      
25377	3/12/20	5:25:05	49.5	dB      
25376	3/12/20	5:25:00	49.3	dB      
25375	3/12/20	5:24:55	48.2	dB      
25374	3/12/20	5:24:50	46.6	dB      
25373	3/12/20	5:24:45	50.9	dB      
25372	3/12/20	5:24:40	42.8	dB      
25371	3/12/20	5:24:35	42.8	dB      
25370	3/12/20	5:24:30	42.7	dB      
25369	3/12/20	5:24:25	43	dB      
25368	3/12/20	5:24:20	42.9	dB      
25367	3/12/20	5:24:15	42.8	dB      
25366	3/12/20	5:24:10	43.5	dB      
25365	3/12/20	5:24:05	43.6	dB      
25364	3/12/20	5:24:00	45.5	dB      
25363	3/12/20	5:23:55	44.4	dB      
25362	3/12/20	5:23:50	49.2	dB      
25361	3/12/20	5:23:45	49.2	dB      
25360	3/12/20	5:23:40	48	dB      
25359	3/12/20	5:23:35	49.2	dB      
25358	3/12/20	5:23:30	51.1	dB      
25357	3/12/20	5:23:25	48.4	dB      
25356	3/12/20	5:23:20	58	dB      
25355	3/12/20	5:23:15	50.2	dB      
25354	3/12/20	5:23:10	45.3	dB      
25353	3/12/20	5:23:05	49	dB      
25352	3/12/20	5:23:00	48.7	dB      
25351	3/12/20	5:22:55	49.4	dB      
25350	3/12/20	5:22:50	48.5	dB      
25349	3/12/20	5:22:45	46.5	dB      
25348	3/12/20	5:22:40	42.9	dB      
25347	3/12/20	5:22:35	41	dB      
25346	3/12/20	5:22:30	43.6	dB      
25345	3/12/20	5:22:25	41.6	dB      
25344	3/12/20	5:22:20	42.7	dB      
25343	3/12/20	5:22:15	44.8	dB      
25342	3/12/20	5:22:10	47	dB      
25341	3/12/20	5:22:05	44.3	dB      
25340	3/12/20	5:22:00	42.7	dB      
25339	3/12/20	5:21:55	41.5	dB      
25338	3/12/20	5:21:50	41.1	dB      
25337	3/12/20	5:21:45	42.2	dB      
25336	3/12/20	5:21:40	42.8	dB      
25335	3/12/20	5:21:35	43	dB      
25334	3/12/20	5:21:30	48.6	dB      
