Place	Date	Time	Value	Unit
18929	2/3/20	6:05:45	42.6	dB      
18928	2/3/20	6:05:40	38.5	dB      
18927	2/3/20	6:05:35	52	dB      
18926	2/3/20	6:05:30	44.3	dB      
18925	2/3/20	6:05:25	44.6	dB      
18924	2/3/20	6:05:20	45.2	dB      
18923	2/3/20	6:05:15	42.4	dB      
18922	2/3/20	6:05:10	43.4	dB      
18921	2/3/20	6:05:05	44.1	dB      
18920	2/3/20	6:05:00	45.3	dB      
18919	2/3/20	6:04:55	45	dB      
18918	2/3/20	6:04:50	45.3	dB      
18917	2/3/20	6:04:45	47.2	dB      
18916	2/3/20	6:04:40	53.4	dB      
18915	2/3/20	6:04:35	52.6	dB      
18914	2/3/20	6:04:30	52.6	dB      
18913	2/3/20	6:04:25	49.5	dB      
18912	2/3/20	6:04:20	45.2	dB      
18911	2/3/20	6:04:15	42.5	dB      
18910	2/3/20	6:04:10	46.8	dB      
18909	2/3/20	6:04:05	42.5	dB      
18908	2/3/20	6:04:00	41.5	dB      
18907	2/3/20	6:03:55	43.2	dB      
18906	2/3/20	6:03:50	42.2	dB      
18905	2/3/20	6:03:45	45.3	dB      
18904	2/3/20	6:03:40	48.1	dB      
18903	2/3/20	6:03:35	54.3	dB      
18902	2/3/20	6:03:30	59.1	dB      
18901	2/3/20	6:03:25	60.1	dB      
18900	2/3/20	6:03:20	55.2	dB      
18899	2/3/20	6:03:15	49.6	dB      
18898	2/3/20	6:03:10	44.2	dB      
18897	2/3/20	6:03:05	43.1	dB      
18896	2/3/20	6:03:00	50.6	dB      
18895	2/3/20	6:02:55	45.7	dB      
18894	2/3/20	6:02:50	44.9	dB      
18893	2/3/20	6:02:45	43.5	dB      
18892	2/3/20	6:02:40	44.4	dB      
18891	2/3/20	6:02:35	42.7	dB      
18890	2/3/20	6:02:30	47.9	dB      
18889	2/3/20	6:02:25	44.9	dB      
18888	2/3/20	6:02:20	46.1	dB      
18887	2/3/20	6:02:15	43.6	dB      
18886	2/3/20	6:02:10	43	dB      
18885	2/3/20	6:02:05	44.7	dB      
18884	2/3/20	6:02:00	45.5	dB      
18883	2/3/20	6:01:55	45.5	dB      
18882	2/3/20	6:01:50	43.1	dB      
18881	2/3/20	6:01:45	42.3	dB      
18880	2/3/20	6:01:40	47.7	dB      
18879	2/3/20	6:01:35	44.2	dB      
18878	2/3/20	6:01:30	44	dB      
18877	2/3/20	6:01:25	43.2	dB      
18876	2/3/20	6:01:20	44.5	dB      
18875	2/3/20	6:01:15	44.6	dB      
18874	2/3/20	6:01:10	45	dB      
18873	2/3/20	6:01:05	42.5	dB      
18872	2/3/20	6:01:00	49.7	dB      
18871	2/3/20	6:00:55	43.6	dB      
18870	2/3/20	6:00:50	41.6	dB      
18869	2/3/20	6:00:45	42.7	dB      
18868	2/3/20	6:00:40	41.2	dB      
18867	2/3/20	6:00:35	41.2	dB      
18866	2/3/20	6:00:30	42.4	dB      
18865	2/3/20	6:00:25	46.1	dB      
18864	2/3/20	6:00:20	42.6	dB      
18863	2/3/20	6:00:15	42.1	dB      
18862	2/3/20	6:00:10	44.4	dB      
18861	2/3/20	6:00:05	44	dB      
18860	2/3/20	6:00:00	45.6	dB      
18859	2/3/20	5:59:55	45	dB      
18858	2/3/20	5:59:50	45.7	dB      
18857	2/3/20	5:59:45	43.5	dB      
18856	2/3/20	5:59:40	42.7	dB      
18855	2/3/20	5:59:35	46.8	dB      
18854	2/3/20	5:59:30	47.5	dB      
18853	2/3/20	5:59:25	54.8	dB      
18852	2/3/20	5:59:20	58.6	dB      
18851	2/3/20	5:59:15	58.3	dB      
18850	2/3/20	5:59:10	55.5	dB      
18849	2/3/20	5:59:05	50.7	dB      
18848	2/3/20	5:59:00	49.4	dB      
18847	2/3/20	5:58:55	46.9	dB      
18846	2/3/20	5:58:50	43.5	dB      
18845	2/3/20	5:58:45	45.1	dB      
18844	2/3/20	5:58:40	46.4	dB      
18843	2/3/20	5:58:35	46.9	dB      
18842	2/3/20	5:58:30	45.2	dB      
18841	2/3/20	5:58:25	47	dB      
18840	2/3/20	5:58:20	44.9	dB      
18839	2/3/20	5:58:15	44.5	dB      
18838	2/3/20	5:58:10	44.5	dB      
18837	2/3/20	5:58:05	44.5	dB      
18836	2/3/20	5:58:00	55.3	dB      
18835	2/3/20	5:57:55	46.8	dB      
18834	2/3/20	5:57:50	45	dB      
18833	2/3/20	5:57:45	44.4	dB      
18832	2/3/20	5:57:40	45.1	dB      
18831	2/3/20	5:57:35	47.9	dB      
18830	2/3/20	5:57:30	46	dB      
18829	2/3/20	5:57:25	47	dB      
18828	2/3/20	5:57:20	48.9	dB      
18827	2/3/20	5:57:15	57.9	dB      
18826	2/3/20	5:57:10	47.6	dB      
18825	2/3/20	5:57:05	47.1	dB      
18824	2/3/20	5:57:00	46.9	dB      
18823	2/3/20	5:56:55	48.9	dB      
18822	2/3/20	5:56:50	45.5	dB      
18821	2/3/20	5:56:45	46.3	dB      
18820	2/3/20	5:56:40	46.9	dB      
18819	2/3/20	5:56:35	48.4	dB      
18818	2/3/20	5:56:30	49.4	dB      
18817	2/3/20	5:56:25	47.2	dB      
18816	2/3/20	5:56:20	49.7	dB      
18815	2/3/20	5:56:15	55.8	dB      
18814	2/3/20	5:56:10	65.6	dB      
18813	2/3/20	5:56:05	61.1	dB      
18812	2/3/20	5:56:00	58.1	dB      
18811	2/3/20	5:55:55	61.1	dB      
18810	2/3/20	5:55:50	52.6	dB      
18809	2/3/20	5:55:45	54.5	dB      
18808	2/3/20	5:55:40	48.5	dB      
18807	2/3/20	5:55:35	46.2	dB      
18806	2/3/20	5:55:30	50.6	dB      
18805	2/3/20	5:55:25	48.7	dB      
18804	2/3/20	5:55:20	46	dB      
18803	2/3/20	5:55:15	46.5	dB      
18802	2/3/20	5:55:10	47.5	dB      
18801	2/3/20	5:55:05	44.4	dB      
18800	2/3/20	5:55:00	44.6	dB      
18799	2/3/20	5:54:55	47.2	dB      
18798	2/3/20	5:54:50	46.2	dB      
18797	2/3/20	5:54:45	46.7	dB      
18796	2/3/20	5:54:40	45.4	dB      
18795	2/3/20	5:54:35	45.6	dB      
18794	2/3/20	5:54:30	47.8	dB      
18793	2/3/20	5:54:25	45.5	dB      
18792	2/3/20	5:54:20	46.3	dB      
18791	2/3/20	5:54:15	48	dB      
18790	2/3/20	5:54:10	54.7	dB      
18789	2/3/20	5:54:05	58.7	dB      
18788	2/3/20	5:54:00	62.4	dB      
18787	2/3/20	5:53:55	56.9	dB      
18786	2/3/20	5:53:50	52.8	dB      
18785	2/3/20	5:53:45	47.4	dB      
18784	2/3/20	5:53:40	46.8	dB      
18783	2/3/20	5:53:35	47	dB      
18782	2/3/20	5:53:30	46.2	dB      
18781	2/3/20	5:53:25	44.3	dB      
18780	2/3/20	5:53:20	44	dB      
18779	2/3/20	5:53:15	45.7	dB      
18778	2/3/20	5:53:10	45.1	dB      
18777	2/3/20	5:53:05	44.8	dB      
18776	2/3/20	5:53:00	44.9	dB      
18775	2/3/20	5:52:55	48.4	dB      
18774	2/3/20	5:52:50	45.5	dB      
18773	2/3/20	5:52:45	58.9	dB      
18772	2/3/20	5:52:40	46.9	dB      
18771	2/3/20	5:52:35	48.2	dB      
18770	2/3/20	5:52:30	44.1	dB      
18769	2/3/20	5:52:25	44.1	dB      
18768	2/3/20	5:52:20	45.5	dB      
18767	2/3/20	5:52:15	45.5	dB      
18766	2/3/20	5:52:10	45.3	dB      
18765	2/3/20	5:52:05	45.9	dB      
18764	2/3/20	5:52:00	44.8	dB      
18763	2/3/20	5:51:55	46.4	dB      
18762	2/3/20	5:51:50	47.2	dB      
18761	2/3/20	5:51:45	46.5	dB      
18760	2/3/20	5:51:40	46.7	dB      
18759	2/3/20	5:51:35	46.4	dB      
18758	2/3/20	5:51:30	48.3	dB      
18757	2/3/20	5:51:25	49.8	dB      
18756	2/3/20	5:51:20	45.5	dB      
18755	2/3/20	5:51:15	46.8	dB      
18754	2/3/20	5:51:10	46.3	dB      
18753	2/3/20	5:51:05	48.1	dB      
18752	2/3/20	5:51:00	48	dB      
18751	2/3/20	5:50:55	47.7	dB      
18750	2/3/20	5:50:50	50.6	dB      
18749	2/3/20	5:50:45	53.8	dB      
18748	2/3/20	5:50:40	47.4	dB      
18747	2/3/20	5:50:35	50	dB      
18746	2/3/20	5:50:30	45.3	dB      
18745	2/3/20	5:50:25	44.3	dB      
18744	2/3/20	5:50:20	47.3	dB      
18743	2/3/20	5:50:15	59.2	dB      
18742	2/3/20	5:50:10	48.1	dB      
18741	2/3/20	5:50:05	43.7	dB      
18740	2/3/20	5:50:00	42.4	dB      
18739	2/3/20	5:49:55	42.6	dB      
18738	2/3/20	5:49:50	42.7	dB      
18737	2/3/20	5:49:45	45.9	dB      
18736	2/3/20	5:49:40	45	dB      
18735	2/3/20	5:49:35	47.7	dB      
18734	2/3/20	5:49:30	44.3	dB      
18733	2/3/20	5:49:25	45.7	dB      
18732	2/3/20	5:49:20	43.5	dB      
18731	2/3/20	5:49:15	44.4	dB      
18730	2/3/20	5:49:10	45.1	dB      
18729	2/3/20	5:49:05	43.3	dB      
18728	2/3/20	5:49:00	46.6	dB      
18727	2/3/20	5:48:55	45.6	dB      
18726	2/3/20	5:48:50	42.7	dB      
18725	2/3/20	5:48:45	41.8	dB      
18724	2/3/20	5:48:40	43.3	dB      
18723	2/3/20	5:48:35	44.2	dB      
18722	2/3/20	5:48:30	44.6	dB      
18721	2/3/20	5:48:25	44.1	dB      
18720	2/3/20	5:48:20	42.1	dB      
18719	2/3/20	5:48:15	45.3	dB      
18718	2/3/20	5:48:10	64.3	dB      
18717	2/3/20	5:48:05	49.7	dB      
18716	2/3/20	5:48:00	45.7	dB      
18715	2/3/20	5:47:55	43.7	dB      
18714	2/3/20	5:47:50	45.1	dB      
18713	2/3/20	5:47:45	41.3	dB      
18712	2/3/20	5:47:40	42.1	dB      
18711	2/3/20	5:47:35	52.4	dB      
18710	2/3/20	5:47:30	47.1	dB      
18709	2/3/20	5:47:25	43.8	dB      
18708	2/3/20	5:47:20	42.8	dB      
18707	2/3/20	5:47:15	44.7	dB      
18706	2/3/20	5:47:10	45.5	dB      
18705	2/3/20	5:47:05	46	dB      
18704	2/3/20	5:47:00	44.2	dB      
18703	2/3/20	5:46:55	44	dB      
18702	2/3/20	5:46:50	44.2	dB      
18701	2/3/20	5:46:45	42.4	dB      
18700	2/3/20	5:46:40	44.5	dB      
18699	2/3/20	5:46:35	42.1	dB      
18698	2/3/20	5:46:30	44.6	dB      
