Place	Date	Time	Value	Unit
30000	3/9/20	23:15:09	40.5	dB      
29999	3/9/20	23:15:04	41.1	dB      
29998	3/9/20	23:14:59	40.5	dB      
29997	3/9/20	23:14:54	40.5	dB      
29996	3/9/20	23:14:49	41.6	dB      
29995	3/9/20	23:14:44	40.5	dB      
29994	3/9/20	23:14:39	41.2	dB      
29993	3/9/20	23:14:34	40.6	dB      
29992	3/9/20	23:14:29	41.8	dB      
29991	3/9/20	23:14:24	41.4	dB      
29990	3/9/20	23:14:19	40.2	dB      
29989	3/9/20	23:14:14	42.2	dB      
29988	3/9/20	23:14:09	39.3	dB      
29987	3/9/20	23:14:04	39.7	dB      
29986	3/9/20	23:13:59	39.1	dB      
29985	3/9/20	23:13:54	40.4	dB      
29984	3/9/20	23:13:49	39.8	dB      
29983	3/9/20	23:13:44	40.7	dB      
29982	3/9/20	23:13:39	38.8	dB      
29981	3/9/20	23:13:34	41.6	dB      
29980	3/9/20	23:13:29	41.9	dB      
29979	3/9/20	23:13:24	40.7	dB      
29978	3/9/20	23:13:19	40.3	dB      
29977	3/9/20	23:13:14	40.9	dB      
29976	3/9/20	23:13:09	44.4	dB      
29975	3/9/20	23:13:04	46.7	dB      
29974	3/9/20	23:12:59	41.7	dB      
29973	3/9/20	23:12:54	41.4	dB      
29972	3/9/20	23:12:49	39	dB      
29971	3/9/20	23:12:44	41.1	dB      
29970	3/9/20	23:12:39	41	dB      
29969	3/9/20	23:12:34	39.3	dB      
29968	3/9/20	23:12:29	40.9	dB      
29967	3/9/20	23:12:24	39.9	dB      
29966	3/9/20	23:12:19	46.5	dB      
29965	3/9/20	23:12:14	56.9	dB      
29964	3/9/20	23:12:09	44.7	dB      
29963	3/9/20	23:12:04	41.9	dB      
29962	3/9/20	23:11:59	40.6	dB      
29961	3/9/20	23:11:54	42.2	dB      
29960	3/9/20	23:11:49	39.7	dB      
29959	3/9/20	23:11:44	40.8	dB      
29958	3/9/20	23:11:39	39.8	dB      
29957	3/9/20	23:11:34	39.6	dB      
29956	3/9/20	23:11:29	41.2	dB      
29955	3/9/20	23:11:24	39.7	dB      
29954	3/9/20	23:11:19	39.5	dB      
29953	3/9/20	23:11:14	40.1	dB      
29952	3/9/20	23:11:09	39.7	dB      
29951	3/9/20	23:11:04	39.8	dB      
29950	3/9/20	23:10:59	39.6	dB      
29949	3/9/20	23:10:54	39.4	dB      
29948	3/9/20	23:10:49	39.2	dB      
29947	3/9/20	23:10:44	38.8	dB      
29946	3/9/20	23:10:39	39.3	dB      
29945	3/9/20	23:10:34	39.5	dB      
29944	3/9/20	23:10:29	39.2	dB      
29943	3/9/20	23:10:24	39.8	dB      
29942	3/9/20	23:10:19	40.2	dB      
29941	3/9/20	23:10:14	42	dB      
29940	3/9/20	23:10:09	40.3	dB      
29939	3/9/20	23:10:04	40.2	dB      
29938	3/9/20	23:09:59	38.9	dB      
29937	3/9/20	23:09:54	39.4	dB      
29936	3/9/20	23:09:49	40.2	dB      
29935	3/9/20	23:09:44	41.4	dB      
29934	3/9/20	23:09:39	40	dB      
29933	3/9/20	23:09:34	40.3	dB      
29932	3/9/20	23:09:29	41.8	dB      
29931	3/9/20	23:09:24	39.4	dB      
29930	3/9/20	23:09:19	39.5	dB      
29929	3/9/20	23:09:14	40.3	dB      
29928	3/9/20	23:09:09	41.2	dB      
29927	3/9/20	23:09:04	39.8	dB      
29926	3/9/20	23:08:59	40.3	dB      
29925	3/9/20	23:08:54	39.9	dB      
29924	3/9/20	23:08:49	40.3	dB      
29923	3/9/20	23:08:44	37.8	dB      
29922	3/9/20	23:08:39	39.6	dB      
29921	3/9/20	23:08:34	39.1	dB      
29920	3/9/20	23:08:29	39.7	dB      
29919	3/9/20	23:08:24	40.6	dB      
29918	3/9/20	23:08:19	39.7	dB      
29917	3/9/20	23:08:14	39.9	dB      
29916	3/9/20	23:08:09	40.1	dB      
29915	3/9/20	23:08:04	40.1	dB      
29914	3/9/20	23:07:59	39.8	dB      
29913	3/9/20	23:07:54	39.6	dB      
29912	3/9/20	23:07:49	39	dB      
29911	3/9/20	23:07:44	40.3	dB      
29910	3/9/20	23:07:39	38.8	dB      
29909	3/9/20	23:07:34	41	dB      
29908	3/9/20	23:07:29	39.3	dB      
29907	3/9/20	23:07:24	40.2	dB      
29906	3/9/20	23:07:19	39.7	dB      
29905	3/9/20	23:07:14	45.1	dB      
29904	3/9/20	23:07:09	43.5	dB      
29903	3/9/20	23:07:04	40.6	dB      
29902	3/9/20	23:06:59	41.3	dB      
29901	3/9/20	23:06:54	39.9	dB      
29900	3/9/20	23:06:49	39.1	dB      
29899	3/9/20	23:06:44	41	dB      
29898	3/9/20	23:06:39	38.6	dB      
29897	3/9/20	23:06:34	38.1	dB      
29896	3/9/20	23:06:29	39.5	dB      
29895	3/9/20	23:06:24	39.3	dB      
29894	3/9/20	23:06:19	42.5	dB      
29893	3/9/20	23:06:14	40	dB      
29892	3/9/20	23:06:09	39.7	dB      
29891	3/9/20	23:06:04	41.6	dB      
29890	3/9/20	23:05:59	42.2	dB      
29889	3/9/20	23:05:54	43.5	dB      
29888	3/9/20	23:05:49	44.7	dB      
29887	3/9/20	23:05:44	40.7	dB      
29886	3/9/20	23:05:39	40.5	dB      
29885	3/9/20	23:05:34	44.4	dB      
29884	3/9/20	23:05:29	42.3	dB      
29883	3/9/20	23:05:24	41.3	dB      
29882	3/9/20	23:05:19	39.9	dB      
29881	3/9/20	23:05:14	41.2	dB      
29880	3/9/20	23:05:09	41.5	dB      
29879	3/9/20	23:05:04	40.1	dB      
29878	3/9/20	23:04:59	40.3	dB      
29877	3/9/20	23:04:54	40.5	dB      
29876	3/9/20	23:04:49	41.1	dB      
29875	3/9/20	23:04:44	40	dB      
29874	3/9/20	23:04:39	40	dB      
29873	3/9/20	23:04:34	39.8	dB      
29872	3/9/20	23:04:29	39.7	dB      
29871	3/9/20	23:04:24	40.9	dB      
29870	3/9/20	23:04:19	40.1	dB      
29869	3/9/20	23:04:14	41.5	dB      
29868	3/9/20	23:04:09	47.5	dB      
29867	3/9/20	23:04:04	50.3	dB      
29866	3/9/20	23:03:59	43.5	dB      
29865	3/9/20	23:03:54	46.3	dB      
29864	3/9/20	23:03:49	43.8	dB      
29863	3/9/20	23:03:44	41.9	dB      
29862	3/9/20	23:03:39	41.2	dB      
29861	3/9/20	23:03:34	42.5	dB      
29860	3/9/20	23:03:29	46	dB      
29859	3/9/20	23:03:24	44.4	dB      
29858	3/9/20	23:03:19	42.2	dB      
29857	3/9/20	23:03:14	39.3	dB      
29856	3/9/20	23:03:09	40.6	dB      
29855	3/9/20	23:03:04	40.4	dB      
29854	3/9/20	23:02:59	39.4	dB      
29853	3/9/20	23:02:54	40	dB      
29852	3/9/20	23:02:49	39.4	dB      
29851	3/9/20	23:02:44	41.5	dB      
29850	3/9/20	23:02:39	39	dB      
29849	3/9/20	23:02:34	39.2	dB      
29848	3/9/20	23:02:29	41.8	dB      
29847	3/9/20	23:02:24	41	dB      
29846	3/9/20	23:02:19	39.8	dB      
29845	3/9/20	23:02:14	40.4	dB      
29844	3/9/20	23:02:09	39.1	dB      
29843	3/9/20	23:02:04	40.4	dB      
29842	3/9/20	23:01:59	40.8	dB      
29841	3/9/20	23:01:54	42.1	dB      
29840	3/9/20	23:01:49	42.4	dB      
29839	3/9/20	23:01:44	39.9	dB      
29838	3/9/20	23:01:39	40.7	dB      
29837	3/9/20	23:01:34	39.3	dB      
29836	3/9/20	23:01:29	39.5	dB      
29835	3/9/20	23:01:24	40.6	dB      
29834	3/9/20	23:01:19	39.2	dB      
29833	3/9/20	23:01:14	40.3	dB      
29832	3/9/20	23:01:09	41.6	dB      
29831	3/9/20	23:01:04	42.5	dB      
29830	3/9/20	23:00:59	40.7	dB      
29829	3/9/20	23:00:54	39.1	dB      
29828	3/9/20	23:00:49	51.8	dB      
29827	3/9/20	23:00:44	43.2	dB      
29826	3/9/20	23:00:39	55.3	dB      
29825	3/9/20	23:00:34	47.6	dB      
29824	3/9/20	23:00:29	41	dB      
29823	3/9/20	23:00:24	44.3	dB      
29822	3/9/20	23:00:19	43.4	dB      
29821	3/9/20	23:00:14	51.8	dB      
29820	3/9/20	23:00:09	43.6	dB      
29819	3/9/20	23:00:04	45.6	dB      
29818	3/9/20	22:59:59	47.3	dB      
29817	3/9/20	22:59:54	45.9	dB      
29816	3/9/20	22:59:49	45.6	dB      
29815	3/9/20	22:59:44	43.6	dB      
29814	3/9/20	22:59:39	44.1	dB      
29813	3/9/20	22:59:34	43.9	dB      
29812	3/9/20	22:59:29	44.4	dB      
29811	3/9/20	22:59:24	44.9	dB      
29810	3/9/20	22:59:19	44.3	dB      
29809	3/9/20	22:59:14	44.4	dB      
29808	3/9/20	22:59:09	44.2	dB      
29807	3/9/20	22:59:04	44.8	dB      
29806	3/9/20	22:58:59	44.6	dB      
29805	3/9/20	22:58:54	44.9	dB      
29804	3/9/20	22:58:49	44.9	dB      
