Time (Date hh:mm:ss.ms),LEQ dBdB-A ,Lmin dBdB-A ,L10 dBdB-A ,Lmax dBdB-A ,L90 dBdB-A ,L50 dBdB-A ,
2020/03/10 05:50:00.138,71.355018 ,68.084706 ,72.497706 ,78.984706 ,69.955706 ,71.103706 ,
2020/03/10 06:00:00.161,70.866981 ,66.284706 ,71.802206 ,88.884706 ,68.842206 ,70.137206 ,
2020/03/10 06:10:00.185,71.585496 ,67.584706 ,72.283706 ,91.384706 ,69.307706 ,70.423706 ,
2020/03/10 06:20:00.209,71.085034 ,67.984706 ,72.176206 ,76.884706 ,69.782206 ,70.865206 ,
2020/03/10 06:30:00.232,70.619548 ,67.384706 ,71.757206 ,80.184706 ,69.045206 ,70.288206 ,
2020/03/10 06:40:00.256,70.573935 ,67.184706 ,71.658206 ,77.384706 ,69.288206 ,70.394206 ,
2020/03/10 06:50:00.279,71.178593 ,67.584706 ,72.342206 ,83.884706 ,69.722206 ,70.901206 ,
2020/03/10 07:00:00.303,71.052817 ,67.784706 ,72.194706 ,78.484706 ,69.854706 ,70.754706 ,
2020/03/10 07:10:00.327,71.938340 ,68.084706 ,73.400706 ,80.684706 ,70.304706 ,71.672706 ,
2020/03/10 07:20:00.350,71.113304 ,67.584706 ,72.547206 ,79.684706 ,69.147206 ,70.762206 ,
2020/03/10 07:30:00.374,70.781030 ,67.184706 ,72.059706 ,78.984706 ,68.909706 ,70.619706 ,
2020/03/10 07:40:00.397,71.339627 ,67.784706 ,72.576206 ,79.084706 ,69.445206 ,71.061206 ,
2020/03/10 07:50:00.421,72.289175 ,69.484706 ,73.103206 ,79.484706 ,71.278206 ,72.081206 ,
2020/03/10 08:00:00.445,71.749650 ,66.684706 ,72.996706 ,79.384706 ,69.444706 ,71.652706 ,
2020/03/10 08:10:00.468,71.785279 ,68.684706 ,72.697206 ,79.884706 ,70.622206 ,71.618206 ,
2020/03/10 08:20:00.492,73.163564 ,69.684706 ,73.996206 ,78.484706 ,71.980206 ,73.177206 ,
2020/03/10 08:30:00.515,72.524059 ,67.584706 ,73.791206 ,78.584706 ,69.762206 ,72.606206 ,
2020/03/10 08:40:00.539,71.831392 ,68.084706 ,73.177706 ,75.784706 ,69.775706 ,71.773706 ,
2020/03/10 08:50:00.563,73.862340 ,68.784706 ,74.878206 ,81.084706 ,72.700206 ,73.591206 ,
2020/03/10 09:00:00.586,71.231230 ,68.584706 ,72.066206 ,78.684706 ,70.190206 ,71.061206 ,
2020/03/10 09:10:00.610,72.634353 ,67.884706 ,73.994706 ,78.384706 ,70.118706 ,72.778706 ,
2020/03/10 09:20:00.633,69.816396 ,66.584706 ,70.709206 ,76.784706 ,68.757206 ,69.672206 ,
2020/03/10 09:30:00.657,70.992387 ,66.984706 ,71.653706 ,84.684706 ,69.061706 ,70.033706 ,
