Place	Date	Time	Value	Unit
17962	2/7/20	18:12:23	58	dB      
17961	2/7/20	18:12:18	53	dB      
17960	2/7/20	18:12:13	51	dB      
17959	2/7/20	18:12:08	49.5	dB      
17958	2/7/20	18:12:03	49.7	dB      
17957	2/7/20	18:11:58	46.4	dB      
17956	2/7/20	18:11:53	52.6	dB      
17955	2/7/20	18:11:48	47.4	dB      
17954	2/7/20	18:11:43	48.6	dB      
17953	2/7/20	18:11:38	47.1	dB      
17952	2/7/20	18:11:33	47.7	dB      
17951	2/7/20	18:11:28	47.3	dB      
17950	2/7/20	18:11:23	47.3	dB      
17949	2/7/20	18:11:18	47	dB      
17948	2/7/20	18:11:13	47.7	dB      
17947	2/7/20	18:11:08	47.3	dB      
17946	2/7/20	18:11:03	55.4	dB      
17945	2/7/20	18:10:58	70	dB      
17944	2/7/20	18:10:53	47.8	dB      
17943	2/7/20	18:10:48	46.8	dB      
17942	2/7/20	18:10:43	47	dB      
17941	2/7/20	18:10:38	47.2	dB      
17940	2/7/20	18:10:33	53.7	dB      
17939	2/7/20	18:10:28	50.7	dB      
17938	2/7/20	18:10:23	51.6	dB      
17937	2/7/20	18:10:18	58.5	dB      
17936	2/7/20	18:10:13	53.1	dB      
17935	2/7/20	18:10:08	51.4	dB      
17934	2/7/20	18:10:03	47.2	dB      
17933	2/7/20	18:09:58	47.5	dB      
17932	2/7/20	18:09:53	53.3	dB      
17931	2/7/20	18:09:48	49.1	dB      
17930	2/7/20	18:09:43	56.6	dB      
17929	2/7/20	18:09:38	62	dB      
17928	2/7/20	18:09:33	52.6	dB      
17927	2/7/20	18:09:28	47.6	dB      
17926	2/7/20	18:09:23	47.3	dB      
17925	2/7/20	18:09:18	46.7	dB      
17924	2/7/20	18:09:13	47.2	dB      
17923	2/7/20	18:09:08	47.2	dB      
17922	2/7/20	18:09:03	48.4	dB      
17921	2/7/20	18:08:58	48.2	dB      
17920	2/7/20	18:08:53	49.1	dB      
17919	2/7/20	18:08:48	46.8	dB      
17918	2/7/20	18:08:43	46.7	dB      
17917	2/7/20	18:08:38	47.2	dB      
17916	2/7/20	18:08:33	51.1	dB      
17915	2/7/20	18:08:28	60.9	dB      
17914	2/7/20	18:08:23	48.8	dB      
17913	2/7/20	18:08:18	51.8	dB      
17912	2/7/20	18:08:13	57.4	dB      
17911	2/7/20	18:08:08	60.1	dB      
17910	2/7/20	18:08:03	59.3	dB      
17909	2/7/20	18:07:58	56.3	dB      
17908	2/7/20	18:07:53	53.5	dB      
17907	2/7/20	18:07:48	48.4	dB      
17906	2/7/20	18:07:43	47.5	dB      
17905	2/7/20	18:07:38	48.1	dB      
17904	2/7/20	18:07:33	52.3	dB      
17903	2/7/20	18:07:28	54.7	dB      
17902	2/7/20	18:07:23	57.2	dB      
17901	2/7/20	18:07:18	59.7	dB      
17900	2/7/20	18:07:13	58.2	dB      
17899	2/7/20	18:07:08	51.5	dB      
17898	2/7/20	18:07:03	51.7	dB      
17897	2/7/20	18:06:58	48	dB      
17896	2/7/20	18:06:53	48.7	dB      
17895	2/7/20	18:06:48	48.9	dB      
17894	2/7/20	18:06:43	52.4	dB      
17893	2/7/20	18:06:38	51.1	dB      
17892	2/7/20	18:06:33	49.1	dB      
17891	2/7/20	18:06:28	48.2	dB      
17890	2/7/20	18:06:23	47.8	dB      
17889	2/7/20	18:06:18	47.9	dB      
17888	2/7/20	18:06:13	48.7	dB      
17887	2/7/20	18:06:08	48.9	dB      
17886	2/7/20	18:06:03	46.8	dB      
17885	2/7/20	18:05:58	47.3	dB      
17884	2/7/20	18:05:53	47.1	dB      
17883	2/7/20	18:05:48	47.8	dB      
17882	2/7/20	18:05:43	48.6	dB      
17881	2/7/20	18:05:38	48.3	dB      
17880	2/7/20	18:05:33	48.1	dB      
17879	2/7/20	18:05:28	46.6	dB      
17878	2/7/20	18:05:23	47	dB      
17877	2/7/20	18:05:18	47.2	dB      
17876	2/7/20	18:05:13	48.6	dB      
17875	2/7/20	18:05:08	48.4	dB      
17874	2/7/20	18:05:03	47.5	dB      
17873	2/7/20	18:04:58	48.4	dB      
17872	2/7/20	18:04:53	48.4	dB      
17871	2/7/20	18:04:48	47.8	dB      
17870	2/7/20	18:04:43	46.4	dB      
17869	2/7/20	18:04:38	46.3	dB      
17868	2/7/20	18:04:33	46.5	dB      
