Place	Date	Time	Value	Unit
3064	2/6/20	18:13:37	48.4	dB      
3063	2/6/20	18:13:32	46.6	dB      
3062	2/6/20	18:13:27	47.3	dB      
3061	2/6/20	18:13:22	47.6	dB      
3060	2/6/20	18:13:17	57.1	dB      
3059	2/6/20	18:13:12	47.8	dB      
3058	2/6/20	18:13:07	47.3	dB      
3057	2/6/20	18:13:02	45.1	dB      
3056	2/6/20	18:12:57	44.3	dB      
3055	2/6/20	18:12:52	44.1	dB      
3054	2/6/20	18:12:47	54.9	dB      
3053	2/6/20	18:12:42	50.1	dB      
3052	2/6/20	18:12:37	45.3	dB      
3051	2/6/20	18:12:32	49.7	dB      
3050	2/6/20	18:12:27	45.1	dB      
3049	2/6/20	18:12:22	46.5	dB      
3048	2/6/20	18:12:17	45.6	dB      
3047	2/6/20	18:12:12	49.7	dB      
3046	2/6/20	18:12:07	48	dB      
3045	2/6/20	18:12:02	55.5	dB      
3044	2/6/20	18:11:57	45.6	dB      
3043	2/6/20	18:11:52	45	dB      
3042	2/6/20	18:11:47	46	dB      
3041	2/6/20	18:11:42	46.1	dB      
3040	2/6/20	18:11:37	48	dB      
3039	2/6/20	18:11:32	49.2	dB      
3038	2/6/20	18:11:27	47.7	dB      
3037	2/6/20	18:11:22	44.8	dB      
3036	2/6/20	18:11:17	47.8	dB      
3035	2/6/20	18:11:12	46	dB      
3034	2/6/20	18:11:07	44.9	dB      
3033	2/6/20	18:11:02	46.7	dB      
3032	2/6/20	18:10:57	45.8	dB      
3031	2/6/20	18:10:52	47.4	dB      
3030	2/6/20	18:10:47	45	dB      
3029	2/6/20	18:10:42	43.2	dB      
3028	2/6/20	18:10:37	44.4	dB      
3027	2/6/20	18:10:32	44.9	dB      
3026	2/6/20	18:10:27	46.8	dB      
3025	2/6/20	18:10:22	46.3	dB      
3024	2/6/20	18:10:17	46.1	dB      
3023	2/6/20	18:10:12	46.6	dB      
3022	2/6/20	18:10:07	47.6	dB      
3021	2/6/20	18:10:02	45.5	dB      
3020	2/6/20	18:09:57	46.1	dB      
3019	2/6/20	18:09:52	45.8	dB      
3018	2/6/20	18:09:47	45.2	dB      
3017	2/6/20	18:09:42	48.3	dB      
3016	2/6/20	18:09:37	45.6	dB      
3015	2/6/20	18:09:32	45.6	dB      
3014	2/6/20	18:09:27	46.5	dB      
3013	2/6/20	18:09:22	46.5	dB      
3012	2/6/20	18:09:17	45	dB      
3011	2/6/20	18:09:12	44.4	dB      
3010	2/6/20	18:09:07	44.3	dB      
3009	2/6/20	18:09:02	44	dB      
3008	2/6/20	18:08:57	44.5	dB      
3007	2/6/20	18:08:52	44.5	dB      
3006	2/6/20	18:08:47	45	dB      
3005	2/6/20	18:08:42	44.8	dB      
3004	2/6/20	18:08:37	44.4	dB      
3003	2/6/20	18:08:32	45.6	dB      
3002	2/6/20	18:08:27	46.3	dB      
3001	2/6/20	18:08:22	44.2	dB      
3000	2/6/20	18:08:17	47.4	dB      
2999	2/6/20	18:08:12	48.4	dB      
2998	2/6/20	18:08:07	58.9	dB      
2997	2/6/20	18:08:02	51.6	dB      
2996	2/6/20	18:07:57	44.1	dB      
2995	2/6/20	18:07:52	43.3	dB      
2994	2/6/20	18:07:47	45.9	dB      
2993	2/6/20	18:07:42	44.3	dB      
2992	2/6/20	18:07:37	44.4	dB      
2991	2/6/20	18:07:32	43.5	dB      
2990	2/6/20	18:07:27	45.4	dB      
2989	2/6/20	18:07:22	45.2	dB      
2988	2/6/20	18:07:17	45.7	dB      
2987	2/6/20	18:07:12	47.6	dB      
2986	2/6/20	18:07:07	46.1	dB      
2985	2/6/20	18:07:02	50.3	dB      
2984	2/6/20	18:06:57	47.6	dB      
2983	2/6/20	18:06:52	47.1	dB      
2982	2/6/20	18:06:47	46.1	dB      
2981	2/6/20	18:06:42	45.7	dB      
2980	2/6/20	18:06:37	50.6	dB      
2979	2/6/20	18:06:32	47.2	dB      
2978	2/6/20	18:06:27	48.3	dB      
