Place	Date	Time	Value	Unit
661	2/9/20	6:59:19	61.2	dB      
660	2/9/20	6:59:14	55.1	dB      
659	2/9/20	6:59:09	52.7	dB      
658	2/9/20	6:59:04	46.3	dB      
657	2/9/20	6:58:59	42.4	dB      
656	2/9/20	6:58:54	42.6	dB      
655	2/9/20	6:58:49	46.2	dB      
654	2/9/20	6:58:44	45.3	dB      
653	2/9/20	6:58:39	43.3	dB      
652	2/9/20	6:58:34	48.4	dB      
651	2/9/20	6:58:29	42.8	dB      
650	2/9/20	6:58:24	44	dB      
649	2/9/20	6:58:19	44.4	dB      
648	2/9/20	6:58:14	43.2	dB      
647	2/9/20	6:58:09	42.6	dB      
646	2/9/20	6:58:04	43.6	dB      
645	2/9/20	6:57:59	45	dB      
644	2/9/20	6:57:54	44.4	dB      
643	2/9/20	6:57:49	45.6	dB      
642	2/9/20	6:57:44	43.5	dB      
641	2/9/20	6:57:39	43.4	dB      
640	2/9/20	6:57:34	46.4	dB      
639	2/9/20	6:57:29	42.8	dB      
638	2/9/20	6:57:24	43.2	dB      
637	2/9/20	6:57:19	43.9	dB      
636	2/9/20	6:57:14	43.8	dB      
635	2/9/20	6:57:09	43.1	dB      
634	2/9/20	6:57:04	44.1	dB      
633	2/9/20	6:56:59	44.3	dB      
632	2/9/20	6:56:54	44	dB      
631	2/9/20	6:56:49	42.3	dB      
630	2/9/20	6:56:44	42.3	dB      
629	2/9/20	6:56:39	42.2	dB      
628	2/9/20	6:56:34	42.6	dB      
627	2/9/20	6:56:29	44.2	dB      
626	2/9/20	6:56:24	44.9	dB      
625	2/9/20	6:56:19	44.7	dB      
624	2/9/20	6:56:14	42.9	dB      
623	2/9/20	6:56:09	42.4	dB      
622	2/9/20	6:56:04	43.1	dB      
621	2/9/20	6:55:59	45.4	dB      
620	2/9/20	6:55:54	43.6	dB      
619	2/9/20	6:55:49	44	dB      
618	2/9/20	6:55:44	44.6	dB      
617	2/9/20	6:55:39	44.7	dB      
616	2/9/20	6:55:34	43.5	dB      
615	2/9/20	6:55:29	43.4	dB      
614	2/9/20	6:55:24	43.7	dB      
613	2/9/20	6:55:19	43.5	dB      
612	2/9/20	6:55:14	43.7	dB      
611	2/9/20	6:55:09	44.1	dB      
610	2/9/20	6:55:04	44	dB      
609	2/9/20	6:54:59	45	dB      
608	2/9/20	6:54:54	49	dB      
607	2/9/20	6:54:49	58.6	dB      
606	2/9/20	6:54:44	61.4	dB      
605	2/9/20	6:54:39	58.6	dB      
604	2/9/20	6:54:34	54	dB      
603	2/9/20	6:54:29	51.6	dB      
602	2/9/20	6:54:24	44.2	dB      
601	2/9/20	6:54:19	44.8	dB      
600	2/9/20	6:54:14	46.3	dB      
599	2/9/20	6:54:09	43.9	dB      
598	2/9/20	6:54:04	43.7	dB      
597	2/9/20	6:53:59	44.4	dB      
596	2/9/20	6:53:54	46	dB      
595	2/9/20	6:53:49	46.3	dB      
594	2/9/20	6:53:44	48.3	dB      
593	2/9/20	6:53:39	48.7	dB      
592	2/9/20	6:53:34	45.5	dB      
591	2/9/20	6:53:29	44.5	dB      
590	2/9/20	6:53:24	43	dB      
589	2/9/20	6:53:19	43.9	dB      
588	2/9/20	6:53:14	43	dB      
587	2/9/20	6:53:09	43	dB      
586	2/9/20	6:53:04	44.4	dB      
585	2/9/20	6:52:59	43	dB      
584	2/9/20	6:52:54	43.6	dB      
583	2/9/20	6:52:49	46.3	dB      
582	2/9/20	6:52:44	45.2	dB      
581	2/9/20	6:52:39	47.6	dB      
580	2/9/20	6:52:34	43.4	dB      
579	2/9/20	6:52:29	43.7	dB      
578	2/9/20	6:52:24	48.4	dB      
577	2/9/20	6:52:19	43.6	dB      
576	2/9/20	6:52:14	44.7	dB      
575	2/9/20	6:52:09	43.4	dB      
574	2/9/20	6:52:04	45.2	dB      
573	2/9/20	6:51:59	43.6	dB      
572	2/9/20	6:51:54	45.5	dB      
571	2/9/20	6:51:49	45.3	dB      
570	2/9/20	6:51:44	44.1	dB      
569	2/9/20	6:51:39	46.4	dB      
568	2/9/20	6:51:34	43.4	dB      
567	2/9/20	6:51:29	43.1	dB      
566	2/9/20	6:51:24	43	dB      
565	2/9/20	6:51:19	45.3	dB      
564	2/9/20	6:51:14	44.3	dB      
563	2/9/20	6:51:09	43.8	dB      
562	2/9/20	6:51:04	42.6	dB      
561	2/9/20	6:50:59	42.5	dB      
560	2/9/20	6:50:54	43.2	dB      
559	2/9/20	6:50:49	41.8	dB      
558	2/9/20	6:50:44	42.2	dB      
557	2/9/20	6:50:39	43.7	dB      
556	2/9/20	6:50:34	43.9	dB      
555	2/9/20	6:50:29	43.5	dB      
554	2/9/20	6:50:24	46	dB      
553	2/9/20	6:50:19	46.8	dB      
552	2/9/20	6:50:14	45	dB      
551	2/9/20	6:50:09	44.3	dB      
550	2/9/20	6:50:04	43	dB      
549	2/9/20	6:49:59	42.4	dB      
548	2/9/20	6:49:54	43.7	dB      
547	2/9/20	6:49:49	44.5	dB      
546	2/9/20	6:49:44	43.2	dB      
545	2/9/20	6:49:39	42.9	dB      
544	2/9/20	6:49:34	46.3	dB      
543	2/9/20	6:49:29	53.4	dB      
542	2/9/20	6:49:24	59.8	dB      
541	2/9/20	6:49:19	60.4	dB      
540	2/9/20	6:49:14	56.7	dB      
539	2/9/20	6:49:09	52.4	dB      
538	2/9/20	6:49:04	47.5	dB      
537	2/9/20	6:48:59	44.4	dB      
536	2/9/20	6:48:54	44.7	dB      
535	2/9/20	6:48:49	44.7	dB      
534	2/9/20	6:48:44	48.1	dB      
533	2/9/20	6:48:39	47.5	dB      
532	2/9/20	6:48:34	46.5	dB      
531	2/9/20	6:48:29	43.4	dB      
530	2/9/20	6:48:24	42.6	dB      
529	2/9/20	6:48:19	44.7	dB      
528	2/9/20	6:48:14	45.1	dB      
527	2/9/20	6:48:09	44.6	dB      
526	2/9/20	6:48:04	44.5	dB      
525	2/9/20	6:47:59	46	dB      
524	2/9/20	6:47:54	45.6	dB      
523	2/9/20	6:47:49	45.2	dB      
522	2/9/20	6:47:44	55.9	dB      
521	2/9/20	6:47:39	51.1	dB      
520	2/9/20	6:47:34	43.2	dB      
519	2/9/20	6:47:29	42.3	dB      
518	2/9/20	6:47:24	41.2	dB      
517	2/9/20	6:47:19	41.4	dB      
516	2/9/20	6:47:14	40.7	dB      
515	2/9/20	6:47:09	44.2	dB      
514	2/9/20	6:47:04	44.4	dB      
513	2/9/20	6:46:59	43.2	dB      
512	2/9/20	6:46:54	40.6	dB      
511	2/9/20	6:46:49	40.4	dB      
510	2/9/20	6:46:44	41	dB      
509	2/9/20	6:46:39	40.9	dB      
508	2/9/20	6:46:34	40.3	dB      
507	2/9/20	6:46:29	40.3	dB      
506	2/9/20	6:46:24	40.8	dB      
505	2/9/20	6:46:19	41.4	dB      
504	2/9/20	6:46:14	41.7	dB      
503	2/9/20	6:46:09	41.7	dB      
502	2/9/20	6:46:04	41.9	dB      
501	2/9/20	6:45:59	41.7	dB      
500	2/9/20	6:45:54	44.7	dB      
499	2/9/20	6:45:49	41.5	dB      
498	2/9/20	6:45:44	41.6	dB      
